Japanese,English
ひとつ,one (thing)
ふたつ,two (things)
えん,yen
かね,money
これ,"this, this one"
すいようび,Wednesday
あれ,that over there
さき,"ahead, first"
ようか,"eight days, 8th of the month"
そば,"side, vicinity"
こっち,here
みぎ,right
あげる,give
ここ,here
とても,very
なな,seven
て,hand
おなか,stomach
すく,be empty
ついたち,1st of the month
にちようび,Sunday
ななつ,seven (things)
どれ,"what, which"
わたし,I
すき,"favorite, liked"
ゲーム,game
ひとり,"one, one person"
ともだち,"friend, companion"
かえる,"return, go back"
げんき,"healthy, energetic"
てんき,weather
すくない,"few, little"
はれる,"be sunny, clear up"
うえ,"up, above"
ドア,door
ひらく,open
くち,mouth
しめる,"shut, close"
じかん,"time, hour"
むいか,"six days, 6th of the month"
うしろ,"back, behind"
とおか,"ten days, 10th of the month"
ごぜん,"morning, a.m."
こんばん,"this evening, tonight"
どようび,Saturday
きんようび,Friday
つき,moon
よる,night (from sunset to sunrise)
たべる,eat
なに,"what, which"
ばん,evening (usually from sunset to bedtime)
ごはん,"cooked rice, meal"
みっつ,three (things)
ひる,"daytime, midday"
みつかる,"be found, be caught"
それ,"that, that one"
おとこ,"man, male"
こんしゅう,this week
こう,"like this, this kind of"
あう,meet
げつようび,Monday
きのう,yesterday
やすむ,"take a day off, take a break"
きょう,today
もくようび,Thursday
ばあい,"situation, case"
つける,switch on
えき,railway station
やめる,"stop, give up, abolish"
あるく,"walk, go on foot"
ちかく,"near, close to"
もっと,more
ちかい,"near, soon"
ちかく,"vicinity, nearby"
ぜんぶ,"all, wholly"
くに,country
かんじ,"character, kanji"
あかい,red
どちら,which
こめ,rice (grain)
まずい,"bad-tasting, bad"
ない,to not be
つくる,"make, create"
つかう,use
けす,"switch off, turn off"
しまる,"be shut, be closed"
まえ,"front, before"
みせ,"shop, store"
へや,room
なつ,summer
あつい,"hot, warm (temperature of the air)"
あつい,"hot (things, touch)"
ふゆ,winter
はいる,enter
さむい,cold (temperature of the air)
はる,spring
あたたかい,warm
みつける,find
テーブル,table
ふるい,old
わるい,bad
おもう,think
そう,"in such manner, that way"
どう,"how, what"
かんがえる,"think, consider"
きめる,"decide, agree upon"
たかい,"high, tall"
おおい,lots of
ごご,"afternoon, p.m."
おもい,heavy
ここのか,"nine days, 9th of the month"
まつ,"wait, wait for"
ふつか,"two days, 2nd of the month"
もつ,"have, possess"
あさ,morning
せんせい,teacher
でんしゃ,train
し,four
とおい,"far, distant"
なまえ,name
だいがく,"university, college"
べんきょう,study
つよい,strong
よわい,weak
ひく,"draw, pull"
しつもん,question
むずかしい,difficult
とる,"take, get"
かず,number
に,two
よん,four
はち,eight
かつ,win
まける,lose
ほんとうに,"really, truly"
ほか,other
とけい,"clock, watch"
やっつ,eight (things)
はらう,pay
せん,thousand
よっか,"four days, 4th of the month"
かう,buy
じゅう,ten
いる,"need, require"
わすれる,"forget, leave behind"
のる,"ride, take"
きる,"wear, put on"
そこ,there
つぎ,next
しゅう,week
うごく,move
でる,"go out, leave"
はやい,early
とき,time
おそい,"slow, late"
はじめる,"begin, start"
がっこう,school
いち,one
とし,"year, age"
はじまる,begin
ミーティング,meeting
おわり,"end, conclusion"
きょねん,last year
きる,cut
みっか,"three days, 3rd of the month"
みる,"see, look at"
たのしむ,enjoy
のみもの,"beverage, drink"
あと,after
みせる,show
いろ,color
すぐ,"at once, soon"
かきなおす,rewrite
なおる,"be repaired, return to normal"
みち,"road, street"
せん,line
まがる,turn
ひだり,left
ようび,day of the week
ことし,this year
ご,five
いく,go
としょかん,library
まだ,"yet, more"
ところ,place
とまる,stay overnight
うち,"house, home"
やすい,"inexpensive, cheap"
ふく,clothes
あける,"open, unlock"
おとうさん,father
ちち,(speaker's)father
はなす,"speak, tell"
はは,(speaker's)mother
はたらく,work
あね,older sister
だいがくせい,university student
おねえさん,older sister
じょうず,"good, skilled"
いもうと,younger sister
おにいさん,older brother
くるま,"car, automobile"
こうこうせい,high school student
むすめ,"daughter, girl"
ここのつ,nine (things)
むすこ,son
むっつ,six (things)
おんな,"woman, girl"
あたらしい,new
いま,now
もう,"already, yet"
がくせい,student
よく,often
かのじょ,"she, one's girlfriend"
きく,"hear, ask"
わかい,young
かなり,"fairly, rather"
すむ,"live, reside"
たつ,"stand, rise"
きもち,"feeling, sensation"
ひろい,"wide, big"
はしる,run
うる,sell
おしえる,"teach, tell"
おくる,send
かく,write
もらう,receive
あし,"leg, foot"
できる,"can do, be good at"
みじかい,"short, brief"
いつも,always
よむ,read
いつ,when
はやい,fast
みみ,"ear, hearing"
あげる,"raise, improve"
たのしい,"fun, enjoyable"
しゃべる,"chat, talk"
さん,three
くる,come
いい,good
ほう,"direction, side"
め,eye
ろく,six
あき,"autumn, fall"
けっこん,marriage
にち,day
じてんしゃ,bicycle
じぶん,"self, oneself"
ごしゅじん,(your) husband
おわる,"finish, end"
かようび,Tuesday
ちがう,"differ, be wrong"
こたえる,"answer, reply"
べつ,"another, different"
なる,become
ため,"sake, purpose"
しろい,"white, blank"
とじる,close
だす,take out
しごと,"work, job"
こんげつ,this month
すこし,"a bit, a little while"
さけ,"alcoholic drink, Japanese rice wine"
のむ,drink
おとな,adult
みず,water
いっぱい,full
き,"spirit, temperament"
わかる,understand
あそぶ,play
ひこうき,airplane
おねがい,favor
つづく,"continue, follow"
くび,neck
あたま,head
いたい,painful
さがす,"search for, look for"
おてあらい,"toilet, bathroom"
つめたい,"cold (things, touch)"
きたない,dirty
ふとい,"thick, fat"
きゅう,nine
おとうと,younger brother
かみ,"god, spirit"
たてる,"build, erect"
おおきい,big
おなじ,"same, identical"
どこ,where
おく,"put, leave"
あそこ,over there
へん,"vicinity, part"
きいろい,yellow
する,"do, make"
やる,do
いっしょに,"together, at the same time"
らいねん,next year
みどり,"green, foliage"
やさしい,"easy, simple"
りゅうがくせい,student studying abroad
もどる,"return, turn back"
おきる,"get up, get out of bed"
おこる,happen
おこす,wake up
おきる,occur
ねる,"sleep, go to sleep"
たぶん,"probably, perhaps"
すわる,"sit, sit down"
ほん,"book, volume"
ほそい,"thin, slender, narrow"
にっき,diary
ときどき,sometimes
しめる,"tighten, fasten"
あまい,sweet
からい,"spicy, salty"
かえる,change
きまる,be decided
やさしい,"gentle, kind"
ひと,person
おっと,husband
しる,know
だれ,"who, whom"
おや,parent
あいする,"love, care for"
くれる,be given
はつか,"20 days, 20th of the month"
つま,wife
